LotID,Agency,Area,Development,LotType,OBJECTID,LU_DESC,LU_TEXT,LU_DT_DESC,GPR,GPR_NUM,WHI_Q_MX,GPR_B_MN,REGION_N,PLN_AREA_N,SUBZONE_NO,SUBZONE_N,CREATE_BY,CREATE_DT,LST_MDF_BY,LST_MDF_DT,SYSTEM_ID,SHAPE_Length,SHAPE_Area,n_lots,Latitude,Longitude,nearest_temperature_station,nearest_rainfall_station,nearest_windspeed_station,nearest_weatherforecast_station
SE33,HDB,,BLK 537/542 SERANGOON NORTH AVENUE 4,C,48229.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887858000.0,Bay Soon,1571143947000.0,180718-52013,2021.637745297647,99419.50641722576,197.0,1.374161738,103.8726078,S115,S115,S115,Tuas
SE34,HDB,,BLK 531/536 SERANGOON NORTH AVENUE 4,C,48229.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887858000.0,Bay Soon,1571143947000.0,180718-52013,2021.637745297647,99419.50641722576,172.0,1.373941085,103.8743072,S115,S115,S115,Tuas
SE37,HDB,,BLK 519 SERANGOON NORTH AVENUE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,67.0,1.371587551,103.874889,S115,S115,S115,Tuas
SE38,HDB,,BLK 504A SERANGOON NORTH AVENUE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,382.0,1.373953245,103.8757153,S115,S115,S115,Tuas
SE39,HDB,,BLK 542A SERANGOON NORTH AVENUE 4,C,48229.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887858000.0,Bay Soon,1571143947000.0,180718-52013,2021.637745297647,99419.50641722576,299.0,1.373503672,103.8717029,S115,S115,S115,Tuas
SE40,HDB,,BLK 550A SERANGOON NORTH AVENUE 3,C,48746.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887971000.0,Bay Soon,1571143948000.0,180718-52541,744.5167281780297,34616.4741259152,688.6666666666666,1.372540957,103.870023,S115,S115,S115,Tuas
SE41,HDB,,BLK 546A SERANGOON NORTH AVE 3,C,48229.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887858000.0,Bay Soon,1571143947000.0,180718-52013,2021.637745297647,99419.50641722576,655.0,1.374047654,103.870212,S115,S115,S115,Tuas
SE42,HDB,,BLK 512A SERANGOON NORTH AVE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,279.0,1.37087974,103.8751047,S115,S115,S115,Tuas
SE43,HDB,,BLK 510 SERANGOON NORTH AVE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,27.0,1.370494627,103.8756824,S115,S115,S115,Tuas
SE50,HDB,,BLK 238A SERANGOON AVENUE 2,C,62631.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309917000.0,Bay Soon,1571152240000.0,180718-67103,1837.380925964636,80328.72719953374,469.0,1.353901343,103.8686104,S115,S115,S115,Tuas
SE51,HDB,,BLK 257A SERANGOON CENTRAL DRIVE,C,62061.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309748000.0,Bay Soon,1571152238000.0,180718-66505,709.569872255582,21528.85889199457,213.0,1.35520986,103.8723892,S115,S115,S115,Tuas
